High,Low,Open,Close,Volume,Adj Close
4911.330078125,4911.330078125,4911.330078125,4911.330078125,0.0,4911.330078125
4937.2001953125,4937.2001953125,4937.2001953125,4937.2001953125,0.0,4937.2001953125
4964.9501953125,4964.9501953125,4964.9501953125,4964.9501953125,0.0,4964.9501953125
5007.080078125,5007.080078125,5007.080078125,5007.080078125,0.0,5007.080078125
5024.89990234375,5024.89990234375,5024.89990234375,5024.89990234375,0.0,5024.89990234375
5035.169921875,5035.169921875,5035.169921875,5035.169921875,0.0,5035.169921875
5050.2099609375,5050.2099609375,5050.2099609375,5050.2099609375,0.0,5050.2099609375
5041.43017578125,5041.43017578125,5041.43017578125,5041.43017578125,0.0,5041.43017578125
5059.509765625,5059.509765625,5059.509765625,5059.509765625,0.0,5059.509765625
5044.64990234375,5044.64990234375,5044.64990234375,5044.64990234375,0.0,5044.64990234375
5055.85009765625,5055.85009765625,5055.85009765625,5055.85009765625,0.0,5055.85009765625
5051.169921875,5051.169921875,5051.169921875,5051.169921875,0.0,5051.169921875
5063.2001953125,5063.2001953125,5063.2001953125,5063.2001953125,0.0,5063.2001953125
5065.7001953125,5065.7001953125,5065.7001953125,5065.7001953125,0.0,5065.7001953125
5101.06005859375,5101.06005859375,5101.06005859375,5101.06005859375,0.0,5101.06005859375
5151.47021484375,5151.47021484375,5151.47021484375,5151.47021484375,0.0,5151.47021484375
5156.919921875,5156.919921875,5156.919921875,5156.919921875,0.0,5156.919921875
5168.06005859375,5168.06005859375,5168.06005859375,5168.06005859375,0.0,5168.06005859375
5129.330078125,5129.330078125,5129.330078125,5129.330078125,0.0,5129.330078125
5116.77001953125,5116.77001953125,5116.77001953125,5116.77001953125,0.0,5116.77001953125
5152.68994140625,5152.68994140625,5152.68994140625,5152.68994140625,0.0,5152.68994140625
5147.7001953125,5147.7001953125,5147.7001953125,5147.7001953125,0.0,5147.7001953125
5161.60009765625,5161.60009765625,5161.60009765625,5161.60009765625,0.0,5161.60009765625
5167.9599609375,5167.9599609375,5167.9599609375,5167.9599609375,0.0,5167.9599609375
5185.8798828125,5185.8798828125,5185.8798828125,5185.8798828125,0.0,5185.8798828125
5196.580078125,5196.580078125,5196.580078125,5196.580078125,0.0,5196.580078125
5212.16015625,5212.16015625,5212.16015625,5212.16015625,0.0,5212.16015625
5226.68994140625,5226.68994140625,5226.68994140625,5226.68994140625,0.0,5226.68994140625
5256.81982421875,5256.81982421875,5256.81982421875,5256.81982421875,0.0,5256.81982421875
5271.06982421875,5271.06982421875,5271.06982421875,5271.06982421875,0.0,5271.06982421875
5302.39013671875,5302.39013671875,5302.39013671875,5302.39013671875,0.0,5302.39013671875
5300.64013671875,5300.64013671875,5300.64013671875,5300.64013671875,0.0,5300.64013671875
5324.72021484375,5324.72021484375,5324.72021484375,5324.72021484375,0.0,5324.72021484375
5350.72998046875,5350.72998046875,5350.72998046875,5350.72998046875,0.0,5350.72998046875
5352.1298828125,5352.1298828125,5352.1298828125,5352.1298828125,0.0,5352.1298828125
5332.3701171875,5332.3701171875,5332.3701171875,5332.3701171875,0.0,5332.3701171875
5343.31005859375,5343.31005859375,5343.31005859375,5343.31005859375,0.0,5343.31005859375
5347.5498046875,5347.5498046875,5347.5498046875,5347.5498046875,0.0,5347.5498046875
5330.31005859375,5330.31005859375,5330.31005859375,5330.31005859375,0.0,5330.31005859375
10454.5,10090.900390625,10090.900390625,10454.5,220.0,10454.5
5363.259765625,5363.259765625,5363.259765625,5363.259765625,0.0,5363.259765625
5373.47998046875,5373.47998046875,5373.47998046875,5373.47998046875,0.0,5373.47998046875
5360.31005859375,5360.31005859375,5360.31005859375,5360.31005859375,0.0,5360.31005859375
10454.5,10272.7001953125,10272.7001953125,10363.599609375,1650.0,10363.599609375
5359.7998046875,5359.7998046875,5359.7998046875,5359.7998046875,0.0,5359.7998046875
5363.97998046875,5363.97998046875,5363.97998046875,5363.97998046875,0.0,5363.97998046875
5385.89990234375,5385.89990234375,5385.89990234375,5385.89990234375,0.0,5385.89990234375
5394.56982421875,5394.56982421875,5394.56982421875,5394.56982421875,0.0,5394.56982421875
5382.169921875,5382.169921875,5382.169921875,5382.169921875,0.0,5382.169921875
5416.25,5416.25,5416.25,5416.25,0.0,5416.25
5412.080078125,5412.080078125,5412.080078125,5412.080078125,0.0,5412.080078125
5408.759765625,5408.759765625,5408.759765625,5408.759765625,0.0,5408.759765625
5413.31005859375,5413.31005859375,5413.31005859375,5413.31005859375,0.0,5413.31005859375
5332.52978515625,5332.52978515625,5332.52978515625,5332.52978515625,0.0,5332.52978515625
5367.5498046875,5367.5498046875,5367.5498046875,5367.5498046875,0.0,5367.5498046875
5355.14013671875,5355.14013671875,5355.14013671875,5355.14013671875,0.0,5355.14013671875
5364.0,5364.0,5364.0,5364.0,0.0,5364.0
5374.27001953125,5374.27001953125,5374.27001953125,5374.27001953125,0.0,5374.27001953125
5407.2099609375,5407.2099609375,5407.2099609375,5407.2099609375,0.0,5407.2099609375
10909.099609375,10909.099609375,10909.099609375,10909.099609375,110.0,10909.099609375
5439.740234375,5439.740234375,5439.740234375,5439.740234375,0.0,5439.740234375
5436.22998046875,5436.22998046875,5436.22998046875,5436.22998046875,0.0,5436.22998046875
5432.2001953125,5432.2001953125,5432.2001953125,5432.2001953125,0.0,5432.2001953125
11363.599609375,10727.2998046875,10727.2998046875,11363.599609375,5280.0,11363.599609375
5418.52001953125,5418.52001953125,5418.52001953125,5418.52001953125,0.0,5418.52001953125
11363.599609375,11363.599609375,11363.599609375,11363.599609375,0.0,11363.599609375
